"id"	"name"	"plural"
"210"	"muffin"	"muffins"
"211"	"munchkin"	"munchkins"
"212"	"mushroom"	"mushrooms"
"213"	"neck"	"necks"
"214"	"nectarine"	"nectarines"
"215"	"nugget"	"nuggets"
"216"	"nut"	"nuts"
"217"	"nutmeat"	"nutmeats"
"218"	"olive"	"olives"
"219"	"omelet"	"omelets"
"220"	"onion"	"onions"
"221"	"orange"	"oranges"
"222"	"order"	"orders"
"223"	"outer-leaf"	"outer-leaves"
"225"	"oyster"	"oysters"
"226"	"oz"	"oz"
"227"	"pack"	"packs"
"228"	"package"	"packages"
"229"	"packet"	"packets"
"230"	"pad"	"pads"
"231"	"pancake"	"pancakes"
"232"	"pancake (mini)"	"pancake (mini)s"
"233"	"parfait"	"parfaits"
"234"	"parsnip"	"parsnips"
"235"	"pastry"	"pastries"
"236"	"pastry (small)"	"pastry (small)s"
"237"	"pat"	"pats"
"238"	"patty"	"patties"
"239"	"patty (large)"	"patties (large)"
"240"	"patty (small)"	"patty (small)s"
"241"	"pea pod"	"pea pods"
"242"	"peanut"	"peanuts"
"243"	"pear"	"pears"
"244"	"pellet"	"pellets"
"245"	"pepper"	"peppers"
"246"	"petiole"	"petioles"
"247"	"pheasant"	"pheasants"
"248"	"pickle"	"pickles"
"249"	"pie"	"pies"
"250"	"pie-shell"	"pie-shells"
"251"	"piece"	"pieces"
"252"	"piece (large)"	"piece (large)s"
"253"	"piece (small)"	"piece (small)s"
"254"	"pierogi"	"pierogis"
"255"	"pimiento"	"pimientos"
"256"	"pint"	"pints"
"257"	"pita"	"pitas"
"258"	"pita (small)"	"pita (small)s"
"259"	"pizza"	"pizzas"
"260"	"plank"	"planks"
"261"	"plant"	"plants"
"262"	"platter"	"platters"
"263"	"plum"	"plums"
"264"	"plum-tomato"	"plum-tomatos"
"265"	"pod"	"pods"
"266"	"pomegranate"	"pomegranates"
"267"	"pop"	"pops"
"268"	"pop-tart"	"pop-tarts"
"269"	"popper"	"poppers"
"270"	"portion"	"portions"
"271"	"pot pie"	"pot pies"
"272"	"potato"	"potatoes"
"273"	"pouch"	"pouches"
"274"	"pretzel"	"pretzels"
"275"	"prune"	"prunes"
"276"	"puff"	"pufves"
"278"	"quail"	"quails"
"279"	"quart"	"quarts"
"280"	"quesadilla"	"quesadillas"
"281"	"quiche"	"quiches"
"282"	"radish"	"radishes"
"283"	"raisin"	"raisins"
"284"	"raspberry"	"raspberries"
"285"	"ravioli"	"raviolis"
"286"	"recipe"	"recipes"
"287"	"regular"	"regulars"
"288"	"ring"	"rings"
"289"	"roast"	"roasts"
"290"	"roll"	"rolls"
"291"	"root"	"roots"
"292"	"rump"	"rumps"
"293"	"rusk"	"rusks"
"294"	"salad"	"salads"
"295"	"saltine"	"saltines"
"296"	"sandwich"	"sandwiches"
"297"	"sapodilla"	"sapodillas"
"298"	"sardine"	"sardines"
"299"	"sausage"	"sausages"
"300"	"scone"	"scones"
"301"	"scoop"	"scoops"
"302"	"section"	"sections"
"303"	"seed"	"seeds"
"304"	"serving"	"servings"
"305"	"shake"	"shakes"
"306"	"sheet"	"sheets"
"307"	"shell"	"shells"
"308"	"shoot"	"shoots"
"309"	"shrimp"	"shrimps"
"310"	"skin"	"skins"
"311"	"slice"	"slices"
"312"	"slice (large)"	"slice (large)s"
"313"	"slice (medium)"	"slice (medium)s"
"314"	"slice (regular)"	"slice (regular)s"
"315"	"slice (small)"	"slice (small)s"
"316"	"slice (thin)"	"slice (thin)s"
"317"	"slice (very thin)"	"slice (very thin)s"
"319"	"small"	"smalls"
"320"	"smoothie"	"smoothies"
"321"	"snack"	"snacks"
"322"	"softgel"	"softgels"
"323"	"souffle"	"souffles"
"324"	"spear"	"spears"
"325"	"spear-gherkin"	"spear-gherkins"
"326"	"spear-tip"	"spear-tips"
"327"	"split"	"splits"
"328"	"spray"	"spraies"
"329"	"sprig"	"sprigs"
"330"	"sprout"	"sprouts"
"331"	"squab"	"squabs"
"332"	"square"	"squares"
"333"	"squash"	"squashes"
"334"	"stalk"	"stalks"
"335"	"stalk (medium)"	"stalk (medium)s"
"336"	"stalk (small)"	"stalk (small)s"
"337"	"steak"	"steaks"
"338"	"stem"	"stems"
"339"	"stick"	"sticks"
"340"	"stick (small)"	"stick (small)s"
"341"	"strip"	"strips"
"342"	"sub"	"subs"
"343"	"sundae"	"sundaes"
"344"	"sweetpotato"	"sweetpotatos"
"345"	"swirl"	"swirls"
"346"	"tablet"	"tablets"
"347"	"taco"	"tacos"
"348"	"tart-shell"	"tart-shells"
"349"	"tbsp"	"tbsp"
"350"	"tbsp (heaping)"	"tbsp (heaping)"
"351"	"tbsp (rounded)"	"tbsp (rounded)"
"352"	"tender"	"tenders"
"353"	"thigh"	"thighs"
"354"	"toast"	"toasts"
"355"	"toaster-muffin"	"toaster-muffins"
"356"	"toaster-pastry"	"toaster-pastries"
"357"	"toaster-strudel"	"toaster-strudels"
"358"	"tomato"	"tomatos"
"359"	"tortilla"	"tortillas"
"360"	"tostada"	"tostadas"
"361"	"tray"	"traies"
"363"	"triscuit-bit"	"triscuit-bits"
"364"	"tsp"	"tsp"
"365"	"tsp (heaping)"	"tsp (heaping)s"
"366"	"tube"	"tubes"
"367"	"tube-cake"	"tube-cakes"
"368"	"turkey"	"turkeies"
"369"	"turkey-skin"	"turkey-skins"
"370"	"turnover"	"turnovers"
"371"	"twist"	"twists"
"372"	"twist-doughnut"	"twist-doughnuts"
"373"	"unit"	"units"
"374"	"wafer"	"wafers"
"375"	"waffle"	"waffles"
"376"	"waffle-cone"	"waffle-cones"
"377"	"waterchestnut"	"waterchestnuts"
"378"	"watermelon-balls"	"watermelon-ballses"
"379"	"waxgourd"	"waxgourds"
"380"	"wedge"	"wedges"
"381"	"wheel"	"wheels"
"382"	"wiener"	"wieners"
"383"	"wing"	"wings"
"384"	"wonton-wrapper"	"wonton-wrappers"
"385"	"wrap"	"wraps"
"386"	"wrapper"	"wrappers"
"387"	"wurst"	"wursts"
"389"	"kg"	"kg"
"390"	"1 slice 42g (1.5oz)"	"1 slice 42g (1.5oz)s"
"391"	"Kabob"	"Kabobs"
"392"	"Rib"	"Ribs"
"393"	"mini cupcake"	"mini cupcakes"
"394"	"skillet"	"skillets"
"395"	"inch slice"	"inch slices"
"396"	"Demi-Baguette"	"Demi-Baguettes"
"397"	"1 shank & 1 cup sauce"	"1 shank & 1 cup sauces"
"398"	"oz meat, 1/2 cup vegetables"	"oz meat, 1/2 cup vegetableses"
"399"	"oz meat, 1/2 cup vegetable"	"oz meat, 1/2 cup vegetables"
"400"	"tblsp"	"tblsps"
"401"	"cl"	"cl"
"500"	"stack"	"stacks"
"502"	"scallop"	"scallops"
"503"	"pk"	"pks"
"504"	"large cupcake"	"large cupcakes"
"506"	"medium ear"	"medium ears"
"507"	"mango"	"mangoes"
"508"	"straw"	"straws"
"509"	"rolled wafer"	"rolled wafers"
"510"	"mini ear"	"mini ears"
"511"	"arugula"	"arugula"
"512"	"mg"	"mg"
"513"	"milligram"	"milligrams"
"514"	"tub"	"tubs"
"515"	"dumpling"	"dumplings"
"516"	"nest"	"nests"
"517"	"mussel"	"mussels"
"518"	"empanada"	"empanadas"
"519"	"taquito"	"taquitos"
"520"	"flauta"	"flautas"
"521"	"softchew"	"softchews"
"522"	"mignon"	"mignons"
"529"	"frittata"	"frittatas"
"530"	"pattie"	"patties"
"531"	"scramble"	"scrambles"
"532"	"dried plum"	"dried plums"
"534"	"japan"	"japans"
"535"	"kawai"	"kawais"
"536"	"dama"	"damas"
"537"	"versailles"	"versailleses"
"538"	"mints"	"mintses"
"539"	"tablespoon"	"tablespoons"
"541"	"lean"	"leans"
"542"	"strong"	"strongs"
"543"	"deciliter"	"deciliters"
"546"	"kilogram"	"kilograms"
"550"	"calzone"	"calzones"
"551"	"ladle"	"ladles"
"552"	"part"	"parts"
"553"	"roll"	"rolls"
"554"	"tofu cake"	"tofu cakes"
"555"	"Bowl of matcha"	"Bowls of matcha"
"556"	"Piece of nigiri-zushi"	"Pieces of nigiri-zushi"
"557"	"bowl of rice"	"bowls of rice"
